ID,TITLE,RELEASE_DATE,IMAGE_URL
27238,Wolverine Saga (2009) #7,2029-12-31,/i/mg/b/40/image_not_available
112146,Invincible Iron Man (2022) #19,2024-06-19,/i/mg/7/90/65f9ae74882c8
112145,Invincible Iron Man (2022) #18,2024-05-01,/i/mg/4/80/65d739964d4c7
112144,Invincible Iron Man (2022) #17,2024-04-10,/i/mg/3/90/66154192d7df1
112143,Invincible Iron Man (2022) #16,2024-03-20,/i/mg/4/00/65f0747aa8666
112142,Invincible Iron Man (2022) #15,2024-02-28,/i/mg/9/30/65ca4d4db8144
112141,Invincible Iron Man (2022) #14,2024-01-17,/i/mg/c/30/65a00c69eace6
112184,X-Men (2021) #30,2024-01-17,/i/mg/8/70/65a00c4ea190c
77490,Marvel's Voices: Avengers (2023) #1,2023-12-06,/i/mg/9/40/6596e2a1ad6c2
112140,Invincible Iron Man (2022) #13,2023-12-06,/i/mg/3/c0/6596e2a80456b
101540,Invincible Iron Man (2022) #12,2023-11-22,/i/mg/f/e0/654bb01317491
101539,Invincible Iron Man (2022) #11,2023-10-18,/i/mg/7/90/65298f4c9cc77
101538,Invincible Iron Man (2022) #10,2023-09-27,/i/mg/3/d0/65299042e7e0f
115793,Ms. Marvel: The New Mutant (2023) #2,2023-09-27,/i/mg/b/f0/652ecad0e7e12
102236,X-Men (2021) #26,2023-09-06,/i/mg/4/20/652991059da8f
101537,Invincible Iron Man (2022) #9,2023-08-23,/i/mg/6/20/64ecae1306744
107834,Infamous Iron Man By Bendis & Maleev (Trade Paperback),2023-08-23,/i/mg/d/20/64dfeed92b639
110275,Iron Man Annual (2023) #1,2023-08-16,/i/mg/2/10/64ecae90cce3a
102520,Invincible Iron Man by Gerry Duggan Vol. 1: Demon In The Armor (Trade Paperback),2023-08-09,/i/mg/5/40/64d117c31c0a1
101536,Invincible Iron Man (2022) #8,2023-07-26,/i/mg/4/40/64c2903f7698d
103952,I Am Iron Man (2023) #5,2023-07-26,/i/mg/3/c0/64c2904408e9e
97145,Ultimate Invasion (2023) #1,2023-06-21,/i/mg/6/70/648735ebac505
103951,I Am Iron Man (2023) #4,2023-06-21,/i/mg/1/30/648735ae46197
101535,Invincible Iron Man (2022) #7,2023-06-07,/i/mg/f/03/646e1f6539137
102233,X-Men (2021) #23,2023-06-07,/i/mg/7/b0/646e1f839f9d7
109357,Iron Man: Facsimile Edition (2023) #1,2023-05-24,/i/mg/c/20/646b6a5da28ac
101534,Invincible Iron Man (2022) #6,2023-05-10,/i/mg/3/50/645111f65b9c3
103950,I Am Iron Man (2023) #3,2023-05-10,/i/mg/6/80/645110cea97f7
108981,Carnage Reigns Alpha (2023) #1,2023-05-03,/i/mg/2/03/6451115fd5533
101533,Invincible Iron Man (2022) #5,2023-04-26,/i/mg/3/10/645111ad64a59
103949,I Am Iron Man (2023) #2,2023-04-05,/i/mg/7/40/641e085f9e8c7
101532,Invincible Iron Man (2022) #4,2023-03-29,/i/mg/8/e0/641e08c11bc6e
98457,Secret Invasion (2022) #5,2023-03-15,/i/mg/7/03/640906281f34e
103947,I Am Iron Man (2023) #1,2023-03-01,/i/mg/9/c0/63f4e99b5ec20
95698,Iron Man Vol. 4: Source Control (Trade Paperback),2023-02-15,/i/mg/e/a0/63ece032c7aab
104944,Marvel Masterworks: The Invincible Iron Man Vol. 16 (Trade Paperback),2023-02-15,/i/mg/c/80/63ece617db08e
100750,Iron Cat (Trade Paperback),2023-01-25,/i/mg/2/b0/63c9b7dcba9cf
101530,Invincible Iron Man (2022) #2,2023-01-18,/i/mg/3/e0/63b476756e35b
98455,Secret Invasion (2022) #3,2023-01-04,/i/mg/c/40/63b477fe22cbb
101528,Avengers (2018) #64,2023-01-04,/i/mg/f/e0/63b4782b31250
98391,Official Handbook Of The Marvel Universe: Update '89 Omnibus (Hardcover),2022-12-28,/i/mg/9/00/63ac50f6762aa
97221,Marvel Masterworks: The Invincible Iron Man Vol. 15 (Trade Paperback),2022-12-07,/i/mg/f/40/63876f4798658
98454,Secret Invasion (2022) #2,2022-12-07,/i/mg/c/20/63863ceeafa02
103301,Iron Man Epic Collection: The Return Of Tony Stark (Trade Paperback),2022-11-23,/i/mg/4/00/63754831a99cd
101541,Iron Man (2020) #25,2022-11-16,/i/mg/6/80/637255c1cc88a
98453,Secret Invasion (2022) #1,2022-11-02,/i/mg/b/c0/63613a2ae5dea
100734,Iron Cat (2022) #5,2022-10-26,/i/mg/3/10/6352e5c3263e0
95815,Iron Man (2020) #24,2022-10-19,/i/mg/6/10/634f64ca111f6
102413,Fortnite X Marvel: Zero War (2022) #5,2022-09-28,/i/mg/d/70/631b352864086
100733,Iron Cat (2022) #4,2022-09-21,/i/mg/9/10/631b359a3ebd4
95814,Iron Man (2020) #23,2022-09-14,/i/mg/4/03/631b3a0899234
100732,Iron Cat (2022) #3,2022-08-17,/i/mg/7/c0/62f3c67e79c99
95813,Iron Man (2020) #22,2022-08-03,/i/mg/5/80/62dab283063a1
89676,Iron Man Vol. 3: Books of Korvac III - Cosmic Iron Man (Trade Paperback),2022-07-27,/i/mg/1/d0/62dac5ca5efa2
100731,Iron Cat (2022) #2,2022-07-27,/i/mg/e/60/62dab2cc9a0a3
95812,Iron Man (2020) #21,2022-07-20,/i/mg/3/70/62d04547481cf
102410,Fortnite X Marvel: Zero War (2022) #2,2022-07-13,/i/mg/e/a0/62d0459aabcac
100730,Iron Cat (2022) #1,2022-07-06,/i/mg/6/30/62b9e0c9100e8
99828,Iron Man/Hellcat Annual (2022) #1,2022-06-29,/i/mg/5/d0/62b9e0d4e1015
95811,Iron Man (2020) #20,2022-06-15,/i/mg/c/80/62b9e15a4e8fa
95810,Iron Man (2020) #19,2022-05-04,/i/mg/1/40/62685199393cc
95809,Iron Man (2020) #18,2022-03-23,/i/mg/5/03/61f018b683263
98403,Captain America/Iron Man (2021) #5,2022-03-23,/i/mg/4/00/6227c9d73f446
98402,Captain America/Iron Man (2021) #4,2022-03-02,/i/mg/6/a0/6217ed911bc88
95808,Iron Man (2020) #17,2022-02-23,/i/mg/8/b0/61b238c11d0ef
89682,Iron Man (2020) #16,2022-01-26,/i/mg/f/80/61cf3ffb145ff
98401,Captain America/Iron Man (2021) #3,2022-01-26,/i/mg/f/f0/61cf3ffcee459
84236,The Darkhold Omega (2022) #1,2022-01-05,/i/mg/3/00/61d4c41c82236
98400,Captain America/Iron Man (2021) #2,2022-01-05,/i/mg/9/50/61d4c516beb76
89681,Iron Man (2020) #15,2021-12-22,/i/mg/9/60/61ae1d199e6c2
98399,Captain America/Iron Man (2021) #1,2021-12-08,/i/mg/4/03/619e63463d022
89680,Iron Man (2020) #14,2021-11-24,/i/mg/a/10/619e637b7fe1f
93800,Iron Man Epic Collection: In The Hands Of Evil (Trade Paperback),2021-11-24,/i/mg/9/90/619ba9e10d79b
94705,Infinite Destinies (Trade Paperback),2021-11-17,/i/mg/c/40/618ee12ee3ed1
95900,Death Of Doctor Strange: Avengers (2021) #1,2021-11-03,/i/mg/2/50/6169eeeb0aecd
84237,The Darkhold: Iron Man (2021) #1,2021-10-13,/i/mg/c/70/6160b68f7acce
89679,Iron Man (2020) #13,2021-10-13,/i/mg/6/70/6160b68bc7f16
93331,Shang-Chi (2021) #5,2021-10-13,/i/mg/9/20/6160b671cb3ff
90363,Dark Ages (2021) #2,2021-10-06,/i/mg/8/f0/614b3fd4ef410
90361,Dark Ages (2021) #1,2021-09-01,/i/mg/a/00/612e8dfd97c35
90385,Avengers Annual (2021) #1,2021-08-25,/i/mg/6/c0/60e5e16b478a9
89677,Iron Man (2020) #11,2021-08-18,/i/mg/b/d0/60e5e1bdbe135
89602,Daredevil (2019) #32,2021-07-28,/i/mg/6/70/60fad327e5636
85586,Iron Man (2020) #10,2021-07-14,/i/mg/9/c0/60e72a6ea4f79
85585,Iron Man (2020) #9,2021-06-09,/i/mg/9/40/60afe2679ac23
90339,Iron Man Annual (2021) #1,2021-06-02,/i/mg/c/90/60afe2ec8a982
90521,Man-Thing by Steve Gerber: The Complete Collection Vol. 3 (Trade Paperback),2021-04-21,/i/mg/7/70/60799bd8876ac
85584,Iron Man (2020) #8,2021-04-14,/i/mg/5/d0/6066104ab59ac
85583,Iron Man (2020) #7,2021-03-17,/i/mg/5/c0/60464e34ad23a
85582,Iron Man (2020) #6,2021-02-17,/i/mg/8/d0/6026d1a2c7e5b
85581,Iron Man (2020) #5,2021-01-06,/i/mg/6/60/5ff32d1157a75
91755,King In Black: Iron Man/Doom (2020) #1,2020-12-30,/i/mg/c/90/5fda7db6809b2
85580,Iron Man (2020) #4,2020-12-16,/i/mg/d/40/5fcfb889bf381
78359,Avengers: Marvels Snapshots (2020) #1,2020-11-18,/i/mg/2/d0/601af718c2612
85579,Iron Man (2020) #3,2020-11-11,/i/mg/8/d0/601af74223bdf
93469,Marvel Action Chillers (2020) #1,2020-11-11,/i/mg/d/10/5fabf8585dc47
76360,Aero (2019) #12,2020-10-21,/i/mg/3/a0/5f89edcf5eec9
85578,Iron Man (2020) #2,2020-10-21,/i/mg/e/e0/5f3ee0a28b2bd
78634,Thor (2020) #8,2020-10-07,/i/mg/9/70/5f735c2820ece
77132,Daredevil (2019) #22,2020-09-23,/i/mg/3/20/5f6510d01393f
90052,Tales of Suspense Facsimile Edition (2020) #39,2020-09-23,/i/mg/3/f0/5f651095e824f
76359,Aero (2019) #11,2020-09-16,/i/mg/3/40/5f6510d0985a1
78633,Thor (2020) #7,2020-09-16,/i/mg/4/20/5f5943091f7b8
85577,Iron Man (2020) #1,2020-09-16,/i/mg/7/30/5f594309d8c6d
81113,Iron Man Epic Collection: The Fury of the Firebrand (Trade Paperback),2020-09-09,/i/mg/e/50/6467b86925508
76163,Black Cat (2019) #12,2020-08-05,/i/mg/1/b0/5f0cbd0c6c1cf
80464,Iron Man 2020 (2020) #5,2020-07-29,/i/mg/6/e0/5f282a676a7b8
85662,Free Comic Book Day: X-Men (2020) #1,2020-07-15,/i/mg/9/90/5f2c345fc3e56
76162,Black Cat (2019) #11,2020-06-10,/i/mg/6/c0/5e7e6a1c80918
84567,True Believers: Iron Man 2020 - War Machine (2020) #1,2020-02-26,/i/mg/3/70/5e503c8238b91
80459,Iron Man 2020 (2020) #1,2020-01-15,/i/mg/3/03/5e149e3260640
84097,True Believers: The Criminally Insane - Mandarin  (2020) #1,2020-01-15,/i/mg/6/00/5e18a02d657a2
